DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,JZS0,JZS2,XZS0,XZS2,NZS0,NZS2
g__unclassified_p__Chloroflexi,229.333333333333,191,232.333333333333,111.333333333333,184.333333333333,297.333333333333
g__norank_f__Xanthobacteraceae,158,249.666666666667,150.333333333333,139.333333333333,251,277.333333333333
g__Thiobacillus,498,98,304.666666666667,29.3333333333333,113.333333333333,167.333333333333
g__Haliangium,199.333333333333,166.666666666667,204.333333333333,240.333333333333,213.666666666667,154.333333333333
g__Nocardioides,171.333333333333,225.333333333333,211,217.333333333333,211.333333333333,134.666666666667
g__norank_c__Ardenticatenia,194.666666666667,179,180,217.333333333333,163.333333333333,185.666666666667
g__Candidatus_Solibacter,111,206.333333333333,156,168.333333333333,253,200.666666666667
g__H16,140,152,109.666666666667,168.666666666667,231,231
g__Mycobacterium,154,231.333333333333,112,119.666666666667,186,190
g__unclassified_f__Syntrophobacteraceae,296,204,161.333333333333,92.6666666666667,104,134.666666666667
g__Anaerolinea,138.666666666667,133.333333333333,231.666666666667,132.666666666667,176.666666666667,143.666666666667
g__norank_p__Latescibacteria,108.666666666667,88.3333333333333,190,156.333333333333,188,206
g__norank_o__43F-1404R,117.333333333333,68.3333333333333,206.333333333333,34,69,397.333333333333
g__unclassified_f__Intrasporangiaceae,140.333333333333,182,140.666666666667,142,134.333333333333,101.666666666667
g__Streptomyces,137.333333333333,162,131,136.666666666667,133.666666666667,131.333333333333
g__Bradyrhizobium,99.6666666666667,145.666666666667,110.333333333333,150,173,145.333333333333
g__norank_c__Gemmatimonadetes,116.333333333333,156.333333333333,130,160.333333333333,108.333333333333,136.333333333333
g__norank_f__Xanthomonadales_Incertae_Sedis,162.333333333333,166.666666666667,106.333333333333,119,104.666666666667,91.6666666666667
g__norank_f__Alcaligenaceae,166.666666666667,135.333333333333,73.3333333333333,131.333333333333,102.666666666667,107
g__unclassified_k__norank,119.333333333333,95.6666666666667,120.666666666667,104.333333333333,105.333333333333,121.666666666667
g__Desulfobacca,146,125.666666666667,86,42,91,169.666666666667
g__norank_c__OPB35_soil_group,83.6666666666667,121.666666666667,145,91.3333333333333,115,92.3333333333333
g__norank_p__Saccharibacteria,87.6666666666667,109.333333333333,56.3333333333333,154.666666666667,149.333333333333,90.3333333333333
g__Geobacter,164.333333333333,110,147.333333333333,79,63,80.6666666666667
g__unclassified_f__Comamonadaceae,112.333333333333,101.333333333333,92.3333333333333,148,107.666666666667,74.6666666666667
g__Agromyces,89,125.333333333333,130.666666666667,147.333333333333,75,54.6666666666667
g__Clostridium_sensu_stricto_1,209.333333333333,82.6666666666667,116.333333333333,45,80.6666666666667,81
g__norank_o__TRA3-20,81,95.6666666666667,87,147.333333333333,95.6666666666667,94.3333333333333
g__norank_f__Sporichthyaceae,86.3333333333333,87.3333333333333,109,170,69.6666666666667,76
g__norank_c__S085,70.3333333333333,63.6666666666667,84.3333333333333,92,85.3333333333333,188.333333333333
g__Flavisolibacter,81,102.666666666667,101.333333333333,115,74.6666666666667,88.6666666666667
g__RB41,35,89.3333333333333,56.3333333333333,108.666666666667,158.666666666667,87.6666666666667
g__Micromonospora,60.3333333333333,109,61.6666666666667,93.3333333333333,105.333333333333,85.3333333333333
g__norank_c__Bacteroidetes_vadinHA17,115.333333333333,98.3333333333333,110.666666666667,47.6666666666667,68.3333333333333,74.6666666666667
g__Bacillus,65.3333333333333,106,85,60.3333333333333,88.6666666666667,100
g__norank_f__Blastocatellaceae__Subgroup_4_,53.3333333333333,87.3333333333333,101.666666666667,131.666666666667,70.3333333333333,46.6666666666667
g__Iamia,80.3333333333333,89.3333333333333,115.666666666667,105.333333333333,41,45.3333333333333
g__Solirubrobacter,62.3333333333333,85.3333333333333,50,86.3333333333333,101,76
g__norank_f__Coriobacteriaceae,97,87.3333333333333,73,67,70.3333333333333,58.3333333333333
g__Syntrophobacter,64,109.333333333333,51.6666666666667,61.3333333333333,80,84
g__norank_o__C0119,46,74.3333333333333,91.3333333333333,87,69.6666666666667,76.6666666666667
g__norank_c__JG30-KF-CM66,41,62.6666666666667,51,102.666666666667,68,90
g__Ramlibacter,57,65,62.6666666666667,116.333333333333,57,54.6666666666667
g__Reyranella,56,76.3333333333333,72,62.3333333333333,70.3333333333333,75.3333333333333
g__Pseudolabrys,61.6666666666667,74.6666666666667,74.6666666666667,32,85.3333333333333,81.3333333333333
g__norank_f__Sandaracinaceae,105.333333333333,70.3333333333333,64.6666666666667,63,53.3333333333333,48.6666666666667
g__norank_f__BIrii41,76.6666666666667,54.3333333333333,57.3333333333333,87.3333333333333,70,52.6666666666667
g__Devosia,131.333333333333,44.6666666666667,38,42.3333333333333,75,41.3333333333333
g__unclassified_f__Methylocystaceae,74,102,60.6666666666667,27.6666666666667,50.3333333333333,53.3333333333333
g__Phenylobacterium,70,69.6666666666667,42,68.3333333333333,61.3333333333333,42
g__Lysobacter,95,73,76.6666666666667,63.6666666666667,17.6666666666667,26.6666666666667
g__norank_f__Rhodobiaceae,58.6666666666667,56,33,42,74,78
g__CL500-29_marine_group,58.3333333333333,62.3333333333333,46.6666666666667,51.6666666666667,56.6666666666667,54.6666666666667
g__norank_o__NB1-j,70,48.3333333333333,54.3333333333333,44.6666666666667,53.3333333333333,52.6666666666667
g__DS-100,25.3333333333333,72,28.3333333333333,82.3333333333333,77.6666666666667,37
g__Ilumatobacter,50.6666666666667,72,42,70,52.3333333333333,35.3333333333333
g__Desulfobulbus,84.3333333333333,138.666666666667,36.6666666666667,16.6666666666667,15.3333333333333,25.6666666666667
g__norank_c__NLS2-31,66,42.6666666666667,48.6666666666667,35.6666666666667,34.3333333333333,79
g__11-24,27.3333333333333,38.6666666666667,54.3333333333333,59.6666666666667,63.6666666666667,61.3333333333333
g__Kribbella,25.3333333333333,44.6666666666667,64.6666666666667,40.6666666666667,59,66.3333333333333
g__Defluviicoccus,44.6666666666667,56,22.3333333333333,37.6666666666667,81.3333333333333,58
g__norank_c__SB-5,77,67.6666666666667,68.3333333333333,29.3333333333333,28.6666666666667,27.6666666666667
g__Skermanella,22.6666666666667,53,38.3333333333333,59,69,48.6666666666667
g__Blastococcus,23,51,33.3333333333333,52.3333333333333,82.6666666666667,47.3333333333333
g__Sorangium,41,60,31.6666666666667,57.3333333333333,53.6666666666667,40
g__norank_o__Xanthomonadales,50.3333333333333,47.6666666666667,46.3333333333333,49.6666666666667,53,36
g__Altererythrobacter,75.6666666666667,50.6666666666667,52,48.3333333333333,29.3333333333333,23
g__unclassified_c__Betaproteobacteria,25.6666666666667,39.6666666666667,30.6666666666667,58.3333333333333,62.6666666666667,40.6666666666667
g__Luedemannella,25.6666666666667,42.3333333333333,25.3333333333333,51,48.6666666666667,64.3333333333333
g__Hydrogenispora,35,43.3333333333333,49.3333333333333,33.3333333333333,49.3333333333333,44.3333333333333
g__norank_c__Gitt-GS-136,28.3333333333333,32,69.3333333333333,43.6666666666667,42.6666666666667,37.6666666666667
g__norank_o__Myxococcales,48.3333333333333,76,23,30,43.6666666666667,31.3333333333333
g__Thioalkalispira,79,14,116.333333333333,3.33333333333333,21.6666666666667,17.6666666666667
g__unclassified_f__Gemmatimonadaceae,33.3333333333333,61.3333333333333,24.3333333333333,60.3333333333333,37.3333333333333,34.6666666666667

